,Avg Nacc,Spec Nacc
F10,13472.08667,9303.906667
F11,8736.89,5268.413333
F12,10220.83667,5346.316667
F13,10580.77667,5602.676667
F15,15367.39333,9764.853333
F16,8684.906667,4664.343333
F17,12042.73667,6606.123333
F18,12861.65,8528.23
F20,9381.34,5604.533333
F25,4495.183333,1164.633333
F30,9626.453333,4894.363333
F32,10101.44333,5274.09
F35,9226.27,4442.936667
F36,8973.97,4333.526667
F7,18769.5,13111.39333
F8,9212.783333,4676.88
F9,13920.05333,9946.616667
M10,6803.586667,-771.7087024
M11,16883.04667,11144.01333
M13,5961.646667,2970.49
M14,10911.08333,5979.37
M15,10474.24,5808.326667
M16,9945.766667,4378.063333
M17,9938.09,5360.903333
M18,11314.62667,6652.246667
M19,11398.85,7594.913333
M21,9807.17,6851.993333
M22,7063.935,3727.8
M24,9649.36,4301.593333
M25,5211.73,2505.326667
M26,13964.58333,7881.243333
M27,10748.01,5636.646667
M28,6323.546667,3066.883333
M4,10083,5333.78
M5,10115.06667,5539.11
M6,7521.396667,3403.803333
M9,16812.72,12873.3
