Vole information for shipment from Ophir Lab (Cornell) to Young Lab (Emory),,,,,,,
,,,,,,,
,,,,,,,
Tag #,Litter Code,Sex,Lineage (Father/Mother),Cornell DOB,Emory Vole,Breeding Pair #,
124,LH103-4,Female,IL05/IL01,9/29/17,148 male,200,
125,gIL-01-11,Male,IL03/IL09,9/12/17,147 female,201,
147,LH118-02,Female,IL01/IL06,9/11/17,b1 male,202,
149,EP14-15,Male,IL08/IL05,9/2/17,150 female,203,
130,AS10-6,Female,IL08/IL14,8/25/17,143 male,204,
123,nIL02-14,Female,IL05/IL01,8/23/17,c1 male,205,
150,EP24-11,Male,CU13/IL01,8/22/17,c3 female,206,
128,EP23-11,Male,IL09/IL05,8/22/17,b2 female,207,
127,IL17-16,Male,wild16-4/IL05,8/13/17,139 female,208,
122,LIL8/7-2-2,Male,IL08/IL07,7/26/17,151 female,209,
131,IL13(H)-20,Female,CU13/2146wild,7/6/17,153 male,210,
146,IL18-05,Female,2195wild/2143wild,7/4/17,148 male,211,
148,EP20-10,Female,IL14/IL07,5/22/17,b1 male,212,
129,,Male,CU12/IL07,4/13/17,150 female,213,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
