,Old Voles,Crossed Voles,Kinship,,,
69,150b3,211b,0.036,,"139b2,b3",2 males
70,150b4,211b,0.036,,"150b3, b4",2 females
71,c3b2,211b,0.036,,b1b3,1 male
67,139b2,211b,0.046,,c3b2,1 female
68,139b3,211b,0.046,,,
27,150b3,204b,0.07,,,
28,150b4,204b,0.07,,,
72,b1b3,211b,0.07,,,
75,150b3,212b,0.07,,,
76,150b4,212b,0.07,,,
84,b1b3,213b,0.07,,,
42,b1b3,206b,0.074,,,
77,c3b2,212b,0.074,,,
33,150b3,205b,0.086,,,
34,150b4,205b,0.086,,,
39,150b3,206b,0.086,,,
40,150b4,206b,0.086,,,
45,150b3,207b,0.086,,,
46,150b4,207b,0.086,,,
83,c3b2,213b,0.086,,,
59,c3b2,209b,0.09,,,
47,c3b2,207b,0.097,,,
66,b1b3,210b,0.099,,,
65,c3b2,210b,0.1,,,
57,150b3,209b,0.11,,,
58,150b4,209b,0.11,,,
19,139b2,203b,0.111,,,
20,139b3,203b,0.111,,,
51,150b3,208b,0.111,,,
52,150b4,208b,0.111,,,
79,139b2,213b,0.111,,,
80,139b3,213b,0.111,,,
31,139b2,205b,0.116,,,
32,139b3,205b,0.116,,,
37,139b2,206b,0.116,,,
38,139b3,206b,0.116,,,
53,c3b2,208b,0.116,,,
48,b1b3,207b,0.129,,,
61,139b2,210b,0.168,,,
62,139b3,210b,0.168,,,
35,c3b2,205b,0.177,,,
13,139b2,202b,0.178,,,
14,139b3,202b,0.178,,,
25,139b2,204b,0.178,,,
26,139b3,204b,0.178,,,
54,b1b3,208b,0.178,,,
73,139b2,212b,0.178,,,
74,139b3,212b,0.178,,,
7,139b2,201b,0.179,,,
55,139b2,209b,0.19,,,
56,139b3,209b,0.19,,,
60,b1b3,209b,0.2,,,
43,139b2,207b,0.215,,,
44,139b3,207b,0.215,,,
63,150b3,210b,0.238,,,
64,150b4,210b,0.238,,,
78,b1b3,212b,0.283,,,
41,c3b2,206b,0.293,,,
21,150b3,203b,0.306,,,
81,150b3,213b,0.306,,,
82,150b4,213b,0.306,,,
49,139b2,208b,0.322,,,
50,139b3,208b,0.322,,,
