,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex
1,NA,c1b,,,,male,,,c1m,c1f,,2
2,NA,c3b,,,,female,,,c3m,c3f,,1
3,NA,c3m,,,,male,,,h3m,h3f,,1
4,NA,c3f,,,,female,,,c5m,c5f,,2
5,NA,h3m,,,23n,male,,,23nm,23nf,,1
6,NA,h3f,,,14n,female,,,14nm,14nf,,2
7,NA,c5m,,,138,male,,,7862,7896,,1
8,NA,c5f,,,135,female,,,7858,7888,,2
9,NA,c1m,,,,male,,,h3m,h3f,,1
10,NA,c1f,,,,female,,,c5m,c5f,,2
11,NA,32m,,,11,male,,,11m,11f,,1
12,NA,32f,,,9,female,,,9m,9f,,2
13,NA,23nm,,,,male,,,32m,32f,,1
14,NA,23nf,,,,female,,,20nm,20nf,,2
15,NA,18m,,,77,male,,,1524,1341,,1
16,NA,18f,,,6,female,,,2427,2251,,2
17,NA,14nf,,,18,female,,,18m,18f,,2
18,NA,14nm,,,17,male,,,17m,17f,,1
19,NA,2427,,,49,male,,,1373,832,,1
20,NA,2251,,,55,female,,,1848,1899,,2
21,1,1431,,EPL,26,male,unsp,unspecified,179,169,,1
22,1,1407,,,16,female,unsp,unspecified,51,53,,2
23,2,51,1974,,N/A,male,unsp,Colony,,,,1
24,2,179,4301,,N/A,male,unsp,Colony,,,,1
25,2,53,2318,,N/A,female,unsp,Colony,,,,2
26,2,169,4232,,N/A,female,unsp,Colony,,,,2
27,1,1497,,,10,male,unsp,unspecified,27,29,,1
28,1,1161,,,20,female,unsp,unspecified,67,69,*kb14,2
29,2,27,1793,,N/A,male,unsp,Colony,,,,1
30,2,67,2451,,N/A,male,unsp,Colony,,,*we entered parents as BP4,1
31,2,29,1994,,N/A,female,unsp,Colony,,,*we entered parents as BP8,2
32,2,69,1991,,N/A,female,unsp,Colony,,,,2
33,NA,3316,,,,female,,,1497,1161,,2
34,NA,3415,,,,male,,,1431,1407,,1
35,NA,59,,,,male,,,,,,1
36,NA,61,,,,female,,,,,,2
37,NA,1307,,,18,female,,,59,61,,2
38,NA,1417,,,12,male,,,35,37,,1
39,NA,20m,,,85,male,,,1417,1307,,1
40,NA,20f,,,kb14,female,,,3415,3316,,2
41,NA,11m,,,76,male,,,1525,1349,,1
42,NA,11f,,,,female,,,2376,2390,,2
43,NA,10m,,,8,male,,,2702,2726,,1
44,NA,10f,,,71,female,,,1431,1407,,2
45,NA,41,,,,male,,,,,,1
46,NA,39,,,,female,,,,,,2
47,NA,1523,,,20,male,,,67,69,,1
48,NA,1350,,,13,female,,,41,39,,2
49,NA,2344,,,55,male,,,1848,1899,,1
50,NA,2179,,,21(mosaic#),female,,,171,161,,2
51,NA,9f,,,78,female,,,1523,1350,,2
52,NA,9m,,,2,male,,,2344,2179,,1
53,NA,10nf,,,,female,,,10m,10f,,2
54,NA,10nm,,,9,male,,,9m,9f,,1
55,1,1848,,EPL,26,male,unsp,unspecified,179,169,,1
56,1,1899,,,N/A,female,unsp,Colony,,,,2
57,NA,2345,,,55,male,,,1848,1899,,1
58,NA,2391,,,49,female,,,1373,832,,2
59,1,849,,EPL,18,male,unsp,unspecified,59,61,,1
60,1,1567,,,13,female,unsp,unspecified,41,39,,2
61,NA,2702,,,51,male,,,849,1567,,1
62,NA,2726,,,71,female,,,1431,1407,,2
63,1,1823,,,16,male,unsp,unspecified,51,53,,1
64,1,812,,,21,female,unsp,unspecified,171,161,,2
65,2,171,4239,,N/A,male,unsp,Colony,,,pedigree,1
66,2,161,3970,,N/A,female,unsp,Colony,,,,2
67,1,1373,,EPR,25,male,unsp,unspecified,177,167,,1
68,1,832,,EPL,24,female,unsp,unspecified,175,165,,2
69,2,175,4238,,N/A,male,unsp,Colony,,,,1
70,2,177,4241,,N/A,male,unsp,Colony,,,,1
71,2,165,3971,,N/A,female,unsp,Colony,,,,2
72,2,167,4216,,N/A,female,unsp,Colony,,,,2
73,NA,2390,,,49,female,,,1373,832,,2
74,NA,2376,,,53,male,,,1823,812,,1
75,NA,1524,,,20,male,,,67,69,,1
76,NA,1341,,,8,female,,,21,19,,2
77,1,21,1112,,N/A,male,unsp,Colony,,,,1
78,1,19,1063,,N/A,female,unsp,Colony,,,,2
79,NA,t2bb,,,t1b,female,,,t2bm,t2bf,,2
80,NA,t2bm,,,t1a,male,,,t1am,t1af,,1
81,NA,t2bf,,,t2a,female,,,t2am,t2af,,2
82,NA,t1am,,,139,male,,,8332,8285,,1
83,NA,t1af,,,141,female,,,8531,8491,,2
84,NA,t2am,,,139,male,,,8332,8285,,1
85,NA,t2af,,,130,female,,,7692,7621,,2
