Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex,
NA,c1b,,,,male,,0,c1m,c1f,,2,
NA,c3b,,,,female,,0,c3m,c3f,,2,
,c3b2,,,,female,,0,c3m,c3f,,2,Lorra saved
NA,c3m,,,,male,,0,h3m,h3f,,1,
,,,,,,,,,,,,
NA,c3f,,,,female,,0,c5m,c5f,,2,
,,,,,,,,,,,,
NA,h3m,,,23n,male,,0,23nm,23nf,,1,
,,,,,,,,,,,,
NA,h3f,,,14n,female,,0,14nm,14nf,,2,
,,,,,,,,,,,,
NA,c5m,,,138,male,,0,7862,7896,,1,
,,,,,,,,,,,,
NA,c5f,,,135,female,,0,7858,7888,,2,
,,,,,,,,,,,,
NA,c1m,,,,male,,0,h3m,h3f,,1,
,,,,,,,,,,,,
NA,c1f,,,,female,,0,c5m,c5f,,2,
,,,,,,,,,,,,
NA,32m,,,11,male,,0,11m,11f,,1,
,,,,,,,,,,,,
NA,32f,,,9,female,,0,9m,9f,,2,
,,,,,,,,,,,,
NA,23nm,,,,male,,0,32m,32f,,1,
,,,,,,,,,,,,
NA,23nf,,,,female,,0,20nm,20nf,,2,
,,,,,,,,,,,,
NA,18m,,,77,male,,0,1524,1341,,1,
,,,,,,,,,,,,
NA,18f,,,6,female,,0,2427,2251,,2,
,,,,,,,,,,,,
NA,14nf,,,18,female,,0,18m,18f,,2,
,,,,,,,,,,,,
NA,14nm,,,17,male,,0,17m,17f,,1,
,,,,,,,,,,,,
NA,2427,,,49,male,,0,1373,832,,1,
,,,,,,,,,,,,
NA,2251,,,55,female,,0,1848,1899,,2,
,,,,,,,,,,,,
1,1431,,EPL,26,male,unsp,0,179,169,,1,
,,,,,,,,,,,,
1,1407,,,16,female,unsp,0,51,53,,2,
,,,,,,,,,,,,
2,51,1974,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
2,179,4301,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
2,53,2318,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
2,169,4232,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
1,1497,,,10,male,unsp,0,27,29,,1,
,,,,,,,,,,,,
1,1161,,,20,female,unsp,0,67,69,*kb14,2,
,,,,,,,,,,,,
2,27,1793,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
2,67,2451,,N/A,male,unsp,0,,,*we entered parents as BP4,1,
,,,,,,,,,,,,
2,29,1994,,N/A,female,unsp,0,,,*we entered parents as BP8,2,
,,,,,,,,,,,,
2,69,1991,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,3316,,,,female,,0,1497,1161,,2,
,,,,,,,,,,,,
NA,3415,,,,male,,0,1431,1407,,1,
,,,,,,,,,,,,
NA,59,,,,male,,0,,,,1,
,,,,,,,,,,,,
NA,61,,,,female,,0,,,,2,
,,,,,,,,,,,,
NA,1307,,,18,female,,0,59,61,,2,
,,,,,,,,,,,,
NA,1417,,,12,male,,0,35,37,,1,
,,,,,,,,,,,,
NA,20m,,,85,male,,0,1417,1307,,1,
,,,,,,,,,,,,
NA,20f,,,kb14,female,,0,3415,3316,,2,
,,,,,,,,,,,,
NA,11m,,,76,male,,0,1525,1349,,1,
,,,,,,,,,,,,
NA,11f,,,,female,,0,2376,2390,,2,
,,,,,,,,,,,,
NA,10m,,,8,male,,0,2702,2726,,1,
,,,,,,,,,,,,
NA,10f,,,71,female,,0,1431,1407,,2,
,,,,,,,,,,,,
NA,41,,,,male,,0,,,,1,
,,,,,,,,,,,,
NA,39,,,,female,,0,,,,2,
,,,,,,,,,,,,
NA,1523,,,20,male,,0,67,69,,1,
,,,,,,,,,,,,
NA,1350,,,13,female,,0,41,39,,2,
,,,,,,,,,,,,
NA,2344,,,55,male,,0,1848,1899,,1,
,,,,,,,,,,,,
NA,2179,,,21(mosaic#),female,,0,171,161,,2,
,,,,,,,,,,,,
NA,9f,,,78,female,,0,1523,1350,,2,
,,,,,,,,,,,,
NA,9m,,,2,male,,0,2344,2179,,1,
,,,,,,,,,,,,
NA,10nf,,,,female,,0,10m,10f,,2,
,,,,,,,,,,,,
NA,10nm,,,9,male,,0,9m,9f,,1,
,,,,,,,,,,,,
1,1848,,EPL,26,male,unsp,0,179,169,,1,
,,,,,,,,,,,,
1,1899,,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,2345,,,55,male,,0,1848,1899,,1,
,,,,,,,,,,,,
NA,2391,,,49,female,,0,1373,832,,2,
,,,,,,,,,,,,
1,849,,EPL,18,male,unsp,0,59,61,,1,
,,,,,,,,,,,,
1,1567,,,13,female,unsp,0,41,39,,2,
,,,,,,,,,,,,
NA,2702,,,51,male,,0,849,1567,,1,
,,,,,,,,,,,,
NA,2726,,,71,female,,0,1431,1407,,2,
,,,,,,,,,,,,
1,1823,,,16,male,unsp,0,51,53,,1,
,,,,,,,,,,,,
1,812,,,21,female,unsp,0,171,161,,2,
,,,,,,,,,,,,
2,171,4239,,N/A,male,unsp,0,,,pedigree,1,
,,,,,,,,,,,,
2,161,3970,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
1,1373,,EPR,25,male,unsp,0,177,167,,1,
,,,,,,,,,,,,
1,832,,EPL,24,female,unsp,0,175,165,,2,
,,,,,,,,,,,,
2,175,4238,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
2,177,4241,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
2,165,3971,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
2,167,4216,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,2390,,,49,female,,0,1373,832,,2,
,,,,,,,,,,,,
NA,2376,,,53,male,,0,1823,812,,1,
,,,,,,,,,,,,
NA,1524,,,20,male,,0,67,69,,1,
,,,,,,,,,,,,
NA,1341,,,8,female,,0,21,19,,2,
,,,,,,,,,,,,
1,21,1112,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
1,19,1063,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,t2bb,,,t1b,female,,0,t2bm,t2bf,,2,
,,,,,,,,,,,,
NA,t2bm,,,t1a,male,,0,t1am,t1af,,1,
,,,,,,,,,,,,
NA,t2bf,,,t2a,female,,0,t2am,t2af,,2,
,,,,,,,,,,,,
NA,t1am,,,139,male,,0,8332,8285,,1,
,,,,,,,,,,,,
NA,t1af,,,141,female,,0,8531,8491,,2,
,,,,,,,,,,,,
NA,t2am,,,139,male,,0,8332,8285,,1,
,,,,,,,,,,,,
NA,t2af,,,130,female,,0,7692,7621,,2,
,,,,,,,,,,,,
NA,t1bb,,,t1b,female,,0,t1bm,t1bf,,2,
,,,,,,,,,,,,
NA,t1bm,,,t1a,male,,0,t1am,t1af,,1,
,,,,,,,,,,,,
NA,t1bf,,,t2a,female,,0,t2am,t2af,,2,
,,,,,,,,,,,,
NA,b3b2,,,b3,male,,0,b3m,b3f,,1,
,,,,,,,,,,,,
NA,153f,,,152,female,,0,152m,152f,,2,
,,,,,,,,,,,,
NA,153m,,,150,male,,0,150m,150f,,1,
,,,,,,,,,,,,
NA,153b,,,153,male,,0,153m,153f,,1,
,,,,,,,,,,,,
NA,150b1,,,150,female,,0,150m,150f,,,
,,,,,,,,,,,,
NA,150b2,,,150,female,,0,150m,150f,,,
NA,150b3,,,150,female,,0,150m,150f,,,Lorra saved
NA,150b4,,,150,female,,0,150m,150f,,,Lorra saved
NA,150f,,,b3,female,,0,b3m,b3f,,2,
,,,,,,,,,,,,
NA,150m,,,h2,male,,0,h2m,h2f,,1,
,,,,,,,,,,,,
NA,147b,,,,female,,0,147m,147f,,2,
,,,,,,,,,,,,
NA,17m,,,77,male,,0,1524,1341,,1,
,,,,,,,,,,,,
NA,17f,,,,female,,0,2376,2390,,2,
,,,,,,,,,,,,
NA,13m,,,8,male,,0,2702,2726,,1,
,,,,,,,,,,,,
NA,13f,,,3,female,,0,2345,2391,,2,
,,,,,,,,,,,,
NA,24m,,,13,male,,0,13m,13f,,1,
,,,,,,,,,,,,
NA,24f,,,18,female,,0,18m,18f,,2,
,,,,,,,,,,,,
NA,27m,,,11,male,,0,11m,11f,,1,
,,,,,,,,,,,,
NA,27f,,,17,female,,0,17m,17f,,2,
,,,,,,,,,,,,
NA,20nm,,,10n,male,,0,10nm,10nf,,1,
,,,,,,,,,,,,
NA,20nf,,,27,female,,0,27m,27f,,2,
,,,,,,,,,,,,
NA,30m,,,17,male,,0,17m,17f,,1,
,,,,,,,,,,,,
NA,30f,,,13,female,,0,13m,13f,,2,
,,,,,,,,,,,,
NA,16nm,,,24f,male,,0,24m,24f,,1,
,,,,,,,,,,,,
NA,16nf,,,27,female,,0,27m,27f,,2,
,,,,,,,,,,,,
NA,31f,,,20,female,,0,20m,20f,,2,
,,,,,,,,,,,,
NA,31m,,,3,male,,0,2345,2391,,1,
,,,,,,,,,,,,
NA,16nnm,,,20n,male,,0,20nm,20nf,,1,
,,,,,,,,,,,,
NA,16nnf,,,30,female,,0,30m,30f,,2,
,,,,,,,,,,,,
NA,21nf,,,16n,female,,0,16nm,16nf,,2,
,,,,,,,,,,,,
NA,21nm,,,31,male,,0,31m,31f,,1,
,,,,,,,,,,,,
NA,h2f,,,16nn,female,,0,16nnm,16nnf,,2,
,,,,,,,,,,,,
NA,h2m,,,21n,male,,0,21nm,21nf,,1,
,,,,,,,,,,,,
NA,147m,,,h2,male,,0,h2m,h2f,,1,
,,,,,,,,,,,,
NA,147f,,,139,female,,0,8332,8285,,2,
,,,,,,,,,,,,
NA,152b,,,152,female,,0,152m,152f,,2,
,,,,,,,,,,,,
NA,152f,,,149,female,,0,149m,149f,,2,
,,,,,,,,,,,,
NA,152m,,,b3,male,,0,b3m,b3f,,1,
,,,,,,,,,,,,
NA,151b,,,151,female,,0,151m,151f,,1,
,,,,,,,,,,,,
NA,151m,,,b1,male,,0,b1m,b1f,,1,
,,,,,,,,,,,,
NA,151f,,,136,female,,0,136m,7896,,2,
,,,,,,,,,,,,
1,7464,,,121,male,unsp,0,6616,6624,,1,
,,,,,,,,,,,,
1,7470,,,100,female,unsp,0,3415,3316,,2,
,,,,,,,,,,,,
2,6616,,,116,male,unsp,0,6243,6317,,1,
,,,,,,,,,,,,
2,6624,,,100,female,unsp,0,3415,3316,,2,
,,,,,,,,,,,,
3,6243,,,49,male,unsp,0,1373,832,,1,
,,,,,,,,,,,,
3,6317,,,95,female,unsp,0,3382,3301,,2,
,,,,,,,,,,,,
4,3382,,,76,male,unsp,0,1525,1349,,1,
,,,,,,,,,,,,
4,3301,,EPL,48,female,unsp,0,1361,837,,2,
,,,,,,,,,,,,
5,1361,,,14,male,unsp,0,43,45,,1,
,,,,,,,,,,,,
5,1525,,,20,male,unsp,0,67,69,,1,
,,,,,,,,,,,,
5,837,EPR,,15,female,unsp,0,49,47,,2,
,,,,,,,,,,,,
5,1349,,,13,female,unsp,0,41,39,,2,
,,,,,,,,,,,,
6,43,1850,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
6,49,1838,,N/A,male,unsp,0,,,,1,
,,,,,,,,,,,,
6,45,1941,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
6,47,2407,,N/A,female,unsp,0,,,,2,
,,,,,,,,,,,,
NA,7862,,,129,male,,0,7464,7470,,1,
,,,,,,,,,,,,
NA,7896,,,104,female,,0,6308,6317,,2,
,,,,,,,,,,,,
1,6308,,EPL,77,male,unsp,0,1524,1341,,1,
,,,,,,,,,,,,
NA,b3b,,,b3b,male,,0,b3m,b3f,,1,
,,,,,,,,,,,,
NA,b3f,,,136,female,,0,136m,7896,,2,
,,,,,,,,,,,,
NA,b3m,,,138,male,,0,7862,7896,,1,
,,,,,,,,,,,,
NA,b2m,,,130,male,,0,7692,7621,,1,
,,,,,,,,,,,,
NA,b2b,,,b2,female,,0,b2m,b2f,,2,
,,,,,,,,,,,,
NA,7692,,,115,male,,0,6256,6318,,1,
,,,,,,,,,,,,
NA,7621,,,120,female,,0,6653,6613,,2,
