,Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,X,sex,X.1,
1,NA,c1b,,,c1,male,,0,c1m,c1f,,1,,
,,c1b2,,,c1,female,,,c1m,c1f,,2,added 7/16,
2,NA,c3b,,,c3,female,,0,c3m,c3f,,2,,
3,NA,c3b2,,,c3,female,,0,c3m,c3f,,2,Lorra saved,
4,NA,c3m,,,,male,,0,h3m,h3f,,1,,
5,NA,c3f,,,,female,,0,c5m,c5f,,2,,
6,NA,h3m,,,23n,male,,0,23nm,23nf,,1,,
7,NA,h3f,,,14n,female,,0,14nm,14nf,,2,,
8,NA,c5m,,,138,male,,0,7862,7896,,1,,
9,NA,c5f,,,135,female,,0,7858,7888,,2,,
10,NA,c1m,,,,male,,0,h3m,h3f,,1,,
11,NA,c1f,,,,female,,0,c5m,c5f,,2,,
12,NA,32m,,,11,male,,0,11m,11f,,1,,
13,NA,32f,,,9,female,,0,9m,9f,,2,,
14,NA,23nm,,,,male,,0,32m,32f,,1,,
15,NA,23nf,,,,female,,0,20nm,20nf,,2,,
16,NA,18m,,,77,male,,0,1524,1341,,1,,
17,NA,18f,,,6,female,,0,2427,2251,,2,,
18,NA,14nf,,,18,female,,0,18m,18f,,2,,
19,NA,14nm,,,17,male,,0,17m,17f,,1,,
20,NA,2427,,,49,male,,0,1373,832,,1,,
21,NA,2251,,,55,female,,0,1848,1899,,2,,
22,1,1431,,EPL,26,male,unsp,0,179,169,,1,,
23,1,1407,,,16,female,unsp,0,51,53,,2,,
24,2,51,1974,,N/A,male,unsp,0,,,,1,,
25,2,179,4301,,N/A,male,unsp,0,,,,1,,
26,2,53,2318,,N/A,female,unsp,0,,,,2,,
27,2,169,4232,,N/A,female,unsp,0,,,,2,,
28,1,1497,,,10,male,unsp,0,27,29,,1,,
29,1,1161,,,20,female,unsp,0,67,69,*kb14,2,,
30,2,27,1793,,N/A,male,unsp,0,,,,1,,
31,2,67,2451,,N/A,male,unsp,0,,,*we entered parents as BP4,1,,
32,2,29,1994,,N/A,female,unsp,0,,,*we entered parents as BP8,2,,
33,2,69,1991,,N/A,female,unsp,0,,,,2,,
34,NA,3316,,,,female,,0,1497,1161,,2,,
35,NA,3415,,,,male,,0,1431,1407,,1,,
36,NA,59,,,,male,,0,,,,1,,
37,NA,61,,,,female,,0,,,,2,,
38,NA,1307,,,18,female,,0,59,61,,2,,
39,NA,1417,,,12,male,,0,35,37,,1,,
40,NA,20m,,,85,male,,0,1417,1307,,1,,
41,NA,20f,,,kb14,female,,0,3415,3316,,2,,
42,NA,11m,,,76,male,,0,1525,1349,,1,,
43,NA,11f,,,,female,,0,2376,2390,,2,,
44,NA,10m,,,8,male,,0,2702,2726,,1,,
45,NA,10f,,,71,female,,0,1431,1407,,2,,
46,NA,41,,,,male,,0,,,,1,,
47,NA,39,,,,female,,0,,,,2,,
48,NA,1523,,,20,male,,0,67,69,,1,,
49,NA,1350,,,13,female,,0,41,39,,2,,
50,NA,2344,,,55,male,,0,1848,1899,,1,,
51,NA,2179,,,21(mosaic#),female,,0,171,161,,2,,
52,NA,9f,,,78,female,,0,1523,1350,,2,,
53,NA,9m,,,2,male,,0,2344,2179,,1,,
54,NA,10nf,,,,female,,0,10m,10f,,2,,
55,NA,10nm,,,9,male,,0,9m,9f,,1,,
56,1,1848,,EPL,26,male,unsp,0,179,169,,1,,
57,1,1899,,,N/A,female,unsp,0,,,,2,,
58,NA,2345,,,55,male,,0,1848,1899,,1,,
59,NA,2391,,,49,female,,0,1373,832,,2,,
60,1,849,,EPL,18,male,unsp,0,59,61,,1,,
61,1,1567,,,13,female,unsp,0,41,39,,2,,
62,NA,2702,,,51,male,,0,849,1567,,1,,
63,NA,2726,,,71,female,,0,1431,1407,,2,,
64,1,1823,,,16,male,unsp,0,51,53,,1,,
65,1,812,,,21,female,unsp,0,171,161,,2,,
66,2,171,4239,,N/A,male,unsp,0,,,pedigree,1,,
67,2,161,3970,,N/A,female,unsp,0,,,,2,,
68,1,1373,,EPR,25,male,unsp,0,177,167,,1,,
69,1,832,,EPL,24,female,unsp,0,175,165,,2,,
70,2,175,4238,,N/A,male,unsp,0,,,,1,,
71,2,177,4241,,N/A,male,unsp,0,,,,1,,
72,2,165,3971,,N/A,female,unsp,0,,,,2,,
73,2,167,4216,,N/A,female,unsp,0,,,,2,,
74,NA,2390,,,49,female,,0,1373,832,,2,,
75,NA,2376,,,53,male,,0,1823,812,,1,,
76,NA,1524,,,20,male,,0,67,69,,1,,
77,NA,1341,,,8,female,,0,21,19,,2,,
78,1,21,1112,,N/A,male,unsp,0,,,,1,,
79,1,19,1063,,N/A,female,unsp,0,,,,2,,
80,NA,t2bb,,,t1b,female,,0,t2bm,t2bf,,2,,
81,NA,t2bm,,,t1a,male,,0,t1am,t1af,,1,,
82,NA,t2bf,,,t2a,female,,0,t2am,t2af,,2,,
83,NA,t1am,,,139,male,,0,8332,8285,,1,,
84,NA,t1af,,,141,female,,0,8531,8491,,2,,
85,NA,t2am,,,139,male,,0,8332,8285,,1,,
86,NA,t2af,,,130,female,,0,7692,7621,,2,,
87,NA,t1bb,,,t1b,male,,0,t1bm,t1bf,,2,,
88,NA,t1bm,,,t1a,male,,0,t1am,t1af,,1,,
89,NA,t1bf,,,t2a,female,,0,t2am,t2af,,2,,
90,NA,b3b2,,,b3,male,,0,b3m,b3f,,1,,
91,NA,153f,,,152,female,,0,152m,152f,,2,,
92,NA,153m,,,150,male,,0,150m,150f,,1,,
93,NA,153b,,,153,male,,0,153m,153f,,1,,
94,NA,150b1,,,150,female,,0,150m,150f,,2,,
95,NA,150b2,,,150,female,,0,150m,150f,,2,,
96,NA,150b3,,,150,female,,0,150m,150f,,2,Lorra saved,
97,NA,150b4,,,150,male,,0,150m,150f,,2,Lorra saved,*changed to male 7/16
98,NA,150f,,,b3,female,,0,b3m,b3f,,2,,
99,NA,150m,,,h2,male,,0,h2m,h2f,,1,,
100,NA,147b,,,,female,,0,147m,147f,,2,,
,,147b2,,,,male,,,147m,147f,,1,added 7/16,
101,NA,17m,,,77,male,,0,1524,1341,,1,,
102,NA,17f,,,,female,,0,2376,2390,,2,,
103,NA,13m,,,8,male,,0,2702,2726,,1,,
104,NA,13f,,,3,female,,0,2345,2391,,2,,
105,NA,24m,,,13,male,,0,13m,13f,,1,,
106,NA,24f,,,18,female,,0,18m,18f,,2,,
107,NA,27m,,,11,male,,0,11m,11f,,1,,
108,NA,27f,,,17,female,,0,17m,17f,,2,,
109,NA,20nm,,,10n,male,,0,10nm,10nf,,1,,
110,NA,20nf,,,27,female,,0,27m,27f,,2,,
111,NA,30m,,,17,male,,0,17m,17f,,1,,
112,NA,30f,,,13,female,,0,13m,13f,,2,,
113,NA,16nm,,,24f,male,,0,24m,24f,,1,,
114,NA,16nf,,,27,female,,0,27m,27f,,2,,
115,NA,31f,,,20,female,,0,20m,20f,,2,,
116,NA,31m,,,3,male,,0,2345,2391,,1,,
117,NA,16nnm,,,20n,male,,0,20nm,20nf,,1,,
118,NA,16nnf,,,30,female,,0,30m,30f,,2,,
119,NA,21nf,,,16n,female,,0,16nm,16nf,,2,,
120,NA,21nm,,,31,male,,0,31m,31f,,1,,
121,NA,h2f,,,16nn,female,,0,16nnm,16nnf,,2,,
122,NA,h2m,,,21n,male,,0,21nm,21nf,,1,,
123,NA,147m,,,h2,male,,0,h2m,h2f,,1,,
124,NA,147f,,,139,female,,0,8332,8285,,2,,
125,NA,152b,,,152,female,,0,152m,152f,,2,,
126,NA,152f,,,149,female,,0,149m,149f,,2,,
127,NA,152m,,,b3,male,,0,b3m,b3f,,1,,
128,NA,151b,,,151,female,,0,151m,151f,,2,,
,,151b2,,,151,female,,,151m,151f,,,added 7/16,
129,NA,151m,,,b1,male,,0,b1m,b1f,,1,,
130,NA,151f,,,136,female,,0,136m,7896,,2,,
131,1,7464,,,121,male,unsp,0,6616,6624,,1,,
132,1,7470,,,100,female,unsp,0,3415,3316,,2,,
133,2,6616,,,116,male,unsp,0,6243,6317,,1,,
134,2,6624,,,100,female,unsp,0,3415,3316,,2,,
135,3,6243,,,49,male,unsp,0,1373,832,,1,,
136,3,6317,,,95,female,unsp,0,3382,3301,,2,,
137,4,3382,,,76,male,unsp,0,1525,1349,,1,,
138,4,3301,,EPL,48,female,unsp,0,1361,837,,2,,
139,5,1361,,,14,male,unsp,0,43,45,,1,,
140,5,1525,,,20,male,unsp,0,67,69,,1,,
141,5,837,EPR,,15,female,unsp,0,49,47,,2,,
142,5,1349,,,13,female,unsp,0,41,39,,2,,
143,6,43,1850,,N/A,male,unsp,0,,,,1,,
144,6,49,1838,,N/A,male,unsp,0,,,,1,,
145,6,45,1941,,N/A,female,unsp,0,,,,2,,
146,6,47,2407,,N/A,female,unsp,0,,,,2,,
147,NA,7862,,,129,male,,0,7464,7470,,1,,
148,NA,7896,,,104,female,,0,6308,6317,,2,,
149,1,6308,,EPL,77,male,unsp,0,1524,1341,,1,,
150,NA,b3b,,,b3b,male,,0,b3m,b3f,,1,,
151,NA,b3f,,,136,female,,0,136m,7896,,2,,
152,NA,b3m,,,138,male,,0,7862,7896,,1,,
153,NA,b2m,,,130,male,,0,7692,7621,,1,,
154,NA,b2b,,,b2,female,,0,b2m,b2f,,2,,
155,NA,7692,,,115,male,,0,6256,6318,,1,,
156,NA,7621,,,120,female,,0,6653,6613,,2,,
157,1,6653,,,104,male,unsp,0,6308,6317,,1,,
158,1,6613,,EPL,111,female,unsp,0,6237,6312,,2,,
159,2,6237,,EPL,71,male,unsp,0,1431,1407,,1,,
160,2,6312,,,97,female,unsp,0,3419,3253,,2,,
161,3,3419,,EPL,82,male,unsp,0,1427,1408,,1,,
162,3,3253,,,63,female,unsp,0,1415,1368,,2,,
163,4,1415,,,23,male,unsp,0,173,163,,1,,
164,4,1427,,,18,male,unsp,0,59,61,,1,,
165,4,1368,,,25,female,unsp,0,177,167,,2,,
166,4,1408,,,16,female,unsp,0,51,53,,2,,
167,5,173,4246,,N/A,male,unsp,0,,,,1,,
168,5,163,4233,,N/A,female,unsp,0,,,,2,,
169,1,6256,,,77,male,unsp,0,1524,1341,,1,,
170,1,6318,,,95,female,unsp,0,3382,3301,,2,,
171,NA,b2f,,,139,female,,0,8332,8285,,2,,
172,NA,b1b3,,,b1,male,,0,b1m,b1f,,1,Lorra saved,
173,NA,b1b2,,,b1,male,,0,b1m,b1f,,1,,
174,NA,b1b1,,,b1,male,,0,b1m,b1f,,1,,
175,NA,b1f,,,141,female,,0,8531,8491,,2,,
176,NA,b1m,,,139,male,,0,8332,8285,,1,,
177,NA,143b,,,143,male,,0,143m,143f,,1,,
178,NA,148b1,,,148,male,,0,148m,148f,,1,,
179,NA,148b2,,,148,male,,0,148m,148f,,1,,
180,NA,148b,,,148,female,,0,148m,148f,,2,,
181,NA,148f,,,137,female,,0,7859,7695,,2,,
182,NA,148m,,,131,male,,0,7684,7631,,1,,
,,155b,,,155,male,,,t1bb,148b,,,added 7/17,
183,NA,7684,,,,male,,0,6619,6626,,1,,
184,NA,7631,,,,female,,0,6609,6605,,2,,
185,1,6609,,,115,male,unsp,0,6256,6318,,1,,
186,1,6605,,,113,female,unsp,0,6252,6319,,2,,
187,2,6252,,EPL,76,male,unsp,0,1525,1349,,1,,
188,2,6319,,,95,female,unsp,0,3382,3301,,2,,
189,1,6619,,,117,male,unsp,0,6244,6293,,1,,
190,1,6626,,EPL,100,female,unsp,0,3415,3316,,2,,
191,2,6244,,,49,male,unsp,0,1373,832,,1,,
192,2,6293,,,63,female,unsp,0,1415,1368,,2,,
193,NA,139b,,,139,female,,0,8332,8285,,2,,
194,NA,139b3,,,139,male,,0,8332,8285,,1,Lorra saved,
195,NA,139b2,,,139,male,,0,8332,8285,,1,Lorra saved,
196,NA,149b,,,149,male,,0,149m,149f,,1,,
197,NA,149m,,,136,male,,0,136m,7896,,1,,
198,NA,149f,,,139,female,,0,8332,8285,,2,,
199,NA,143m,,,139,male,,0,8332,8285,,1,,
200,NA,143f,,,141,female,,0,8531,8491,,2,,
201,NA,8491,,,112,female,,0,6255,6304,,2,,
202,NA,8531,,,137,male,,0,7859,7695,,1,,
203,1,6255,,,77,male,unsp,0,1524,1341,,1,,
204,1,6304,,,96,female,unsp,0,3067,3325,,2,,
205,2,3067,,,84,male,unsp,0,1547,1308,,1,,
206,2,3325,,EPL,64,female,unsp,0,1404,1363,,2,,
207,3,1404,,EPL,16,male,unsp,0,51,53,,1,,
208,3,1547,,,23,male,unsp,0,173,163,,1,,
209,3,1308,,,18,female,unsp,0,59,61,,2,,
210,3,1363,,EPL,14,female,unsp,0,43,45,,2,,
211,1,7859,,,111,male,unsp,0,6237,6312,,1,,
212,1,7695,,,124,female,unsp,0,6590,6595,,2,,
213,2,6590,,EPL,103,male,unsp,0,6294,6350,,1,,
214,2,6595,,,99,female,unsp,0,3405,3254,,2,,
215,3,3405,,,81,male,unsp,0,1399,1419,,1,,
216,3,6294,,,63,male,unsp,0,1415,1368,,1,,
217,3,3254,,,63,female,unsp,0,1415,1368,,2,,
218,3,6350,,,99,female,unsp,0,3405,3254,,2,,
219,4,1399,,EPL,15,male,unsp,0,49,47,,1,,
220,4,1419,,,12,female,unsp,0,35,37,,2,,
221,5,35,1786,,N/A,male,unsp,0,,,,1,,
222,5,37,2315,,N/A,female,unsp,0,,,,2,,
223,NA,8332,,,135,male,,0,7858,7888,,1,,
224,1,7858,,EPL,115,male,unsp,0,6256,6318,,1,,
225,1,7888,,EPL,128,female,unsp,0,7500,7471,,2,,
226,2,7500,,,104,male,unsp,0,6308,6317,,1,,
227,2,7471,,,100,female,unsp,0,3415,3316,,2,,
228,NA,8285,,,136,female,,0,136m,7896,,2,,
229,NA,136m,dad,,129,male,,0,7464,7470,,1,,
230,NA,O150,,,CU13/IL01,male,,1,CU13m,IL01f,,1,,
231,NA,CU13m,,,,male,,7,,,,1,,
232,NA,IL01f,,,,female,,7,,,,2,,
233,NA,O128,,,IL09/IL05,male,,1,IL09m,IL05f,,1,,
234,NA,IL09m,,,,male,,7,,,,1,,
235,NA,IL05f,,,,female,,7,,,,2,,
236,NA,O149,,,IL08/IL05,male,,1,IL08m,IL05f,,1,,
237,NA,IL08m,,,,male,,7,,,,1,,
238,NA,O129,,,CU12/IL07,male,,1,CU12m,IL07f,,1,,
239,NA,CU12m,,,,male,,7,,,,1,,
240,NA,IL07f,,,,female,,7,,,,2,,
241,NA,O127,,,wild16-4/IL05,male,,1,wild16-4m,IL05f,,1,,
242,NA,wild16-4m,,,,male,,7,,,,1,,
243,NA,O122,,,IL08/IL07,male,,1,IL08m,IL07f,,1,,
244,NA,O125,,,IL03/IL09,male,,1,IL03m,IL09f,,1,,
245,NA,IL03m,,,,male,,7,,,,1,,
246,NA,IL09f,,,,female,,7,,,,2,,
247,NA,O131,,,CU13/2146wild,female,,1,CU13m,2146wildf,,2,,
248,NA,2146wildf,,,,female,,7,,,,2,,
249,NA,O130,,,IL08/IL14,female,,1,IL08m,IL14f,,2,,
250,NA,IL14f,,,,female,,7,,,,2,,
251,NA,O148,,,IL14/IL07,female,,1,IL14m,IL07f,,2,,
252,NA,IL14m,,,,male,,7,,,,1,,
253,NA,O147,,,IL01/IL06,female,,1,IL01m,IL06f,,2,,
254,NA,IL01m,,,,male,,7,,,,1,,
255,NA,IL06f,,,,female,,7,,,,2,,
256,NA,O146,,,2195wild/2143wild,female,,1,2195wildm,2143wildf,,2,,
257,NA,2195wildm,,,,male,,7,,,,1,,
258,NA,2143wildf,,,,female,,7,,,,2,,
259,NA,O123,,,IL05/IL01,female,,1,IL05m,IL01f,,2,,
260,NA,IL05m,,,,male,,7,,,,1,,
261,NA,O124,,,IL05/IL01,female,,1,IL05m,IL01f,,2,,
,,154b,,,154,male,,,147b2,151b,,,150b need male,151b female
,,156b,,,156,male,,,150b4,c1b2,,,,
262,NA,200b,,,200,male,,3,148b1,O124,,1,,
263,NA,201b,,,201,male,,3,O125,147b,,1,,
264,NA,202b,,,202,male,,3,b1b1,O147,,1,,
265,NA,203b,,,203,male,,3,O149,150b1,,1,,
266,NA,204b,,,204,male,,3,143b,O130,,1,,
267,NA,205b,,,205,male,,3,c1b,O123,,1,,
268,NA,206b,,,206,male,,3,O150,c3b,,1,,
269,NA,207b,,,207,female,,3,O128,b2b,,2,,
270,NA,208b,,,208,female,,3,O127,139b,,2,,
271,NA,209b,,,209,female,,3,O122,151b,,2,,
272,NA,210b,,,210,female,,3,153b,O131,,2,,
273,NA,211b,,,211,female,,3,148b2,O146,,2,,
274,NA,212b,,,212,male,,3,b1b2,O148,,2,,
275,NA,213b,,,213,female,,3,O129,150b2,,2,,
276,NA,214b,,,214,male,,NA,139b2,211b,,1,,
277,NA,216b,,,215,male,,NA,205b,150b3,,1,,
278,NA,215b,,,216,male,,NA,212b,c3b2,,1,,
279,NA,217b,,,217,male,,NA,b1b3,213b,,1,,
