Offspring from Breeder Pairs,200b,201b,202b,203b,205b,206b,207b,209b,210b,211b,212b,213b,214b,215b,216b,217b,150b1,154b,155b,156b
200b,,,,,,,,,,,,,,,,,,,,
201b,0.018,,,,,,,,,,,,,,,,,,,
202b,0.035,0.052,,,,,,,,,,,,,,,,,,
203b,0.018,0.07,0.035,,,,,,,,,,,,,,,,,
205b,0.143,0.043,0.037,0.043,,,,,,,,,,,,,,,,
206b,0.08,0.043,0.037,0.043,0.151,,,,,,,,,,,,,,,
207b,0.026,0.062,0.064,0.106,0.048,0.048,,,,,,,,,,,,,,
209b,0.028,0.056,0.1,0.118,0.045,0.045,0.069,,,,,,,,,,,,,
210b,0.02,0.067,0.05,0.119,0.05,0.112,0.062,0.076,,,,,,,,,,,,
211b,0.135,0.018,0.035,0.018,0.018,0.018,0.026,0.028,0.02,,,,,,,,,,,
212b,0.035,0.052,0.141,0.035,0.037,0.037,0.064,0.163,0.05,0.035,,,,,,,,,,
213b,0.018,0.07,0.035,0.153,0.043,0.043,0.043,0.118,0.119,0.018,0.097,,,,,,,,,
214b,0.091,0.099,0.106,0.065,0.067,0.067,0.121,0.109,0.094,0.523,0.106,0.065,,,,,,,,
215b,0.035,0.069,0.108,0.061,0.107,0.165,0.081,0.126,0.075,0.035,0.537,0.092,0.12,,,,,,,
216b,0.089,0.091,0.053,0.174,0.543,0.119,0.067,0.078,0.144,0.027,0.053,0.174,0.098,0.114,,,,,,
217b,0.044,0.087,0.159,0.111,0.058,0.058,0.086,0.159,0.109,0.044,0.19,0.535,0.139,0.153,0.141,,,,,
150b1,0.036,0.139,0.07,0.518,0.086,0.086,0.086,0.11,0.238,0.036,0.07,0.306,0.129,0.121,0.349,0.223,,,,
154b,0.047,0.201,0.152,0.125,0.089,0.089,0.131,0.335,0.143,0.047,0.152,0.125,0.208,0.165,0.169,0.214,0.249,,,
155b,0.165,0.076,0.108,0.057,0.061,0.061,0.11,0.098,0.076,0.165,0.108,0.057,0.204,0.115,0.087,0.136,0.114,0.173,,
156b,0.036,0.113,0.072,0.196,0.189,0.132,0.092,0.1,0.169,0.036,0.072,0.196,0.132,0.168,0.291,0.17,0.392,0.213,0.117,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ID row/column=,The leading 3 numbers identify the breeder pair (parents),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Off-diagonals = ,Kinship coefficients (from 0 to 1) for hypothetical offspring that would come from the corresponding breeder parents. ,,,,,,,,,,,,,,,,,,,
,These values in off-diagonals show how related two offspring that come from distinct breeder pairs are to each other. ,,,,,,,,,,,,,,,,,,,
,"For example, a pup that comes from Breeder Pair 216 and a pup from Breeder Pair 205 would be 54.3% related (more than full siblings).",,,,,,,,,,,,,,,,,,,
