,151b,152b,143b,149b,b1b,b2b,b3b,139b,147b,148b,150b,153b
151b,1.117401123,0.385318756,0.280441284,0.396736145,0.40007019,0.275260925,0.373901367,0.380661011,0.190330505,0.113449097,0.186950684,0.28613472
152b,0.385318756,1.225738525,0.257270813,0.597229004,0.257270813,0.319610596,0.605010986,0.449401855,0.224700928,0.088821411,0.302505493,0.568611145
143b,0.280441284,0.257270813,1.03414917,0.295303345,0.326080322,0.25743103,0.219238281,0.355804443,0.177902222,0.139373779,0.109619141,0.183444977
149b,0.396736145,0.597229004,0.295303345,1.202758789,0.295303345,0.361694336,0.451477051,0.524414063,0.262207031,0.090118408,0.225738525,0.411483765
b1b,0.40007019,0.257270813,0.326080322,0.295303345,1.03414917,0.25743103,0.219238281,0.355804443,0.177902222,0.139373779,0.109619141,0.183444977
b2b,0.275260925,0.319610596,0.25743103,0.361694336,0.25743103,1.108642578,0.277526855,0.430297852,0.215148926,0.104095459,0.138763428,0.229187012
b3b,0.373901367,0.605010986,0.219238281,0.451477051,0.219238281,0.277526855,1.233154297,0.374389648,0.187194824,0.087524414,0.379272461,0.492141724
139b,0.380661011,0.449401855,0.355804443,0.524414063,0.355804443,0.430297852,0.374389648,1.110107422,0.321655273,0.092712402,0.187194824,0.31829834
147b,0.190330505,0.224700928,0.177902222,0.262207031,0.177902222,0.215148926,0.187194824,0.321655273,1,0.046356201,0.218597412,0.22164917
148b,0.113449097,0.088821411,0.139373779,0.090118408,0.139373779,0.104095459,0.087524414,0.092712402,0.046356201,1.02734375,0.043762207,0.066291809
150b,0.186950684,0.302505493,0.109619141,0.225738525,0.109619141,0.138763428,0.379272461,0.187194824,0.218597412,0.043762207,1,0.430397034
153b,0.28613472,0.568611145,0.183444977,0.411483765,0.183444977,0.229187012,0.492141724,0.31829834,0.22164917,0.066291809,0.430397034,1.151252747
