,200b,201b,202b,203b,204b,205b,206b,207b,208b,209b,210b,211b,212b,213b,
200b,NA,0.018,0.035,0.018,0.035,0.143,0.08,0.026,0.023,0.028,0.02,0.135,0.035,0.018,200b
201b,NA,NA,0.052,0.07,0.052,0.043,0.043,0.062,0.089,0.056,0.067,0.018,0.052,0.07,201b
202b,NA,NA,NA,0.035,0.082,0.037,0.037,0.064,0.089,0.1,0.05,0.035,0.141,0.035,202b
203b,NA,NA,NA,NA,0.097,0.043,0.043,0.106,0.118,0.118,0.119,0.018,0.035,0.153,203b
204b,NA,NA,NA,NA,NA,0.037,0.037,0.064,0.089,0.133,0.05,0.035,0.082,0.035,204b
205b,NA,NA,NA,NA,NA,NA,0.151,0.048,0.058,0.045,0.05,0.018,0.037,0.043,205b
206b,NA,NA,NA,NA,NA,NA,NA,0.048,0.058,0.045,0.112,0.018,0.037,0.043,206b
207b,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.069,0.062,0.026,0.064,0.043,207b
208b,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,0.084,0.023,0.089,0.056,208b
209b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,0.028,0.163,0.118,209b
210b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.05,0.119,210b
211b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,0.018,211b
212b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,212b
213b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213b
,200b,201b,202b,203b,204b,205b,206b,207b,208b,209b,210b,211b,212b,213b,
