Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father Id,Mother Id
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,c5m,,,138,male,,,7862,7896
,c5f,,,135,female,,,7858,7888
,c3m,,,h3,male,,,h3m,h3f
,c3f,,,c5,female,,,c5m,c5f
,c3b,,,c1,female,,,c3m,c3f
,c1m,,,h3,male,,,h3m,h3f
,c1f,,,c5,female,,,c5m,c5f
,c1b,,,c1,female,,,c1m,c1f
,1848,,EPL,26,male,unsp,unspecified,179,169
,1899,,,N/A,female,unsp,Colony,,
,179,4301,,N/A,male,unsp,Colony,,
,169,4232,,N/A,female,unsp,Colony,,
1,2344,,,,male,,,1848,1899
1,2179,,,,female,,,171,161
2,b14m,,,bp2,male,,,2344,2179
2,b14f,,,bp4,female,,,2376,2390
2,b23m,,,,male,,,,
2,b23f,,,,female,,,,
,h3m,,,b23,male,,,b23m,b23f
,h3f,,,b14,female,,,b14m,b14f
,1373,,EPR,25,male,unsp,unspecified,177,167
,832,,EPL,24,female,unsp,unspecified,175,165
,175,4238,,N/A,male,unsp,Colony,,
,177,4241,,N/A,male,unsp,Colony,,
,165,3971,,N/A,female,unsp,Colony,,
,167,4216,,N/A,female,unsp,Colony,,
,1848,,EPL,26,male,unsp,unspecified,179,169
,1899,,,N/A,female,unsp,Colony,,
,179,4301,,N/A,male,unsp,Colony,,
,169,4232,,N/A,female,unsp,Colony,,
,2345,,,55,male,,,1848,1899
,2391,,,49,female,,,1373,832
,1373,,EPR,25,male,unsp,unspecified,177,167
,832,,EPL,24,female,unsp,unspecified,175,165
,175,4238,,N/A,male,unsp,Colony,,
,177,4241,,N/A,male,unsp,Colony,,
,165,3971,,N/A,female,unsp,Colony,,
,167,4216,,N/A,female,unsp,Colony,,
,1823,,,16,male,unsp,unspecified,51,53
,812,,,21,female,unsp,unspecified,171,161
,51,1974,,,male,unsp,Colony,,
,171,4239,,,male,unsp,Colony,,
,53,2318,,,female,unsp,Colony,,
,161,3970,,,female,unsp,Colony,,
,47,,,,female,,,,
,49,,,,male,,,,
,37,,,,male,,,,
,35,,,,female,,,,
,2376,,,53,male,,,1823,812
,2390,,,49,female,,,1373,832
,1399,,,15,male,,,49,47
,1419,,,12,female,,,37,35
,kb9f,,,,female,,,,
,kb9m,,,,male,,,,
,b21m,,,bp3,male,,,2345,2391
,b21f,,,kb9,female,,,kb9m,kb9f
,b16m,,,81,male,,,1399,1419
,b16f,,,b4,female,,,2376,2390
,t2bb,,,t1b,female,,,t2bm,t2bf
,t2bm,,,t1a,male,,,t1am,t1af
1,t2bf,,,t2a,female,,,t2am,t2af
1,t1am,,,139,male,,,8332,8285
2,t1af,,,141,female,,,8531,8491
2,t2am,,,139,male,,,8332,8285
2,t2af,,,130,female,,,7692,7621
2,t1bb,,,t1b,female,,,t1bm,t1bf
3,t1bm,,,t1a,male,,,t1am,t1af
3,t1bf,,,t2a,female,,,t2am,t2af
3,b3b2,,,b3,male,,,b3m,b3f
3,153f,,,152,female,,,152m,152f
,153m,,,150,male,,,150m,150f
