Gen,Animal,Label,Mark,Mating,Gender,Genotypes,Vendor,Father.Id,Mother.Id,
,c1b,,,,female,,,c1m,c1f,
,c3b,,,,male,,,c3m,c3f,
,c3m,,,,male,,,h3m,h3f,
,c3f,,,,female,,,c5m,c5f,
,h3m,,,23n,male,,,23nm,23nf,
,h3f,,,14n,female,,,14nm,14nf,
,c5m,,,138,male,,,7862,7896,
,c5f,,,135,female,,,7858,7888,
,c1m,,,,male,,,h3m,h3f,
,c1f,,,,female,,,c5m,c5f,
,32m,,,11,male,,,11m,11f,
,32f,,,9,female,,,9m,9f,
,23nm,,,,male,,,32m,32f,
,23nf,,,,female,,,20nm,20nf,
,18m,,,77,male,,,1524,1341,
,18f,,,6,female,,,2427,2251,
,14nf,,,18,female,,,18m,18f,
,14nm,,,17,male,,,17m,17f,
,2427,,,49,male,,,1373,832,
,2251,,,55,female,,,1848,1899,
,18m,,,77,male,,,1524,1341,
,18f,,,6,female,,,2427,2251,
1,1431,,EPL,26,male,unsp,unspecified,179,169,
1,1407,,,16,female,unsp,unspecified,51,53,
2,51,1974,,N/A,male,unsp,Colony,,,
2,179,4301,,N/A,male,unsp,Colony,,,
2,53,2318,,N/A,female,unsp,Colony,,,
2,169,4232,,N/A,female,unsp,Colony,,,
1,1497,,,10,male,unsp,unspecified,27,29,
1,1161,,,20,female,unsp,unspecified,67,69,*kb14
2,27,1793,,N/A,male,unsp,Colony,,,
2,67,2451,,N/A,male,unsp,Colony,,,*we entered parents as BP4
2,29,1994,,N/A,female,unsp,Colony,,,*we entered parents as BP8
2,69,1991,,N/A,female,unsp,Colony,,,
,3316,,,,female,,,1497,1161,
,3415,,,,male,,,1431,1407,
,59,,,,male,,,,,
,61,,,,female,,,,,
,1307,,,18,female,,,59,61,
,1417,,,12,male,,,35,37,
,20m,,,85,male,,,1417,1307,
,20f,,,kb14,female,,,3415,3316,
,11m,,,76,male,,,1525,1349,
,11f,,,,female,,,2376,2390,
,10m,,,8,male,,,2702,2726,
,10f,,,71,female,,,1431,1407,
,41,,,,male,,,,,
,39,,,,female,,,,,
,67,,,,male,,,,,
,69,,,,female,,,,,
,1523,,,20,male,,,67,69,
,1350,,,13,female,,,41,39,
,2344,,,55,male,,,1848,1899,
,2179,,,21(mosaic#),female,,,171,161,
,9f,,,78,female,,,1523,1350,
,9m,,,2,male,,,2344,2179,
,10nf,,,,female,,,10m,10f,
,10nm,,,9,male,,,9m,9f,
1,1848,,EPL,26,male,unsp,unspecified,179,169,
1,1899,,,N/A,female,unsp,Colony,,,
2,179,4301,,N/A,male,unsp,Colony,,,
2,169,4232,,N/A,female,unsp,Colony,,,
,2345,,,55,male,,,1848,1899,
,2391,,,49,female,,,1373,832,
1,1431,,EPL,26,male,unsp,unspecified,179,169,
1,1407,,,16,female,unsp,unspecified,51,53,
2,51,1974,,N/A,male,unsp,Colony,,,
2,179,4301,,N/A,male,unsp,Colony,,,
2,53,2318,,N/A,female,unsp,Colony,,,
2,169,4232,,N/A,female,unsp,Colony,,,
1,849,,EPL,18,male,unsp,unspecified,59,61,
1,1567,,,13,female,unsp,unspecified,41,39,
2,41,2437,,N/A,male,unsp,Colony,,,
2,59,2410,,N/A,male,unsp,Colony,,,
2,39,2406,,N/A,female,unsp,Colony,,,
2,61,2404,,N/A,female,unsp,Colony,,,
,2702,,,51,male,,,849,1567,
,2726,,,71,female,,,1431,1407,
